"coordinates (lat,lon)",location_id (id),model (name),model elevation (surface),utc_offset (hrs),temperature (degC),datetime
"(25.8, 80.3)",M,era5,117.83,5.5,18.58,1965-01-01
"(25.8, 80.3)",M,era5,117.83,5.5,19.37,1965-01-02
"(25.8, 80.3)",M,era5,117.83,5.5,16.11,1965-01-03
"(25.8, 80.3)",M,era5,117.83,5.5,17.42,1965-01-04
"(25.8, 80.3)",M,era5,117.83,5.5,16.16,1965-01-05
"(25.8, 80.3)",M,era5,117.83,5.5,16.05,1965-01-06
"(25.8, 80.3)",M,era5,117.83,5.5,16.45,1965-01-07
"(25.8, 80.3)",M,era5,117.83,5.5,15.48,1965-01-08
"(25.8, 80.3)",M,era5,117.83,5.5,15.21,1965-01-09
"(25.8, 80.3)",M,era5,117.83,5.5,15.03,1965-01-10
"(25.8, 80.3)",M,era5,117.83,5.5,14.6,1965-01-11
"(25.8, 80.3)",M,era5,117.83,5.5,15.51,1965-01-12
"(25.8, 80.3)",M,era5,117.83,5.5,17.22,1965-01-13
"(25.8, 80.3)",M,era5,117.83,5.5,17.02,1965-01-14
"(25.8, 80.3)",M,era5,117.83,5.5,18.13,1965-01-15
"(25.8, 80.3)",M,era5,117.83,5.5,18.71,1965-01-16
"(25.8, 80.3)",M,era5,117.83,5.5,18.23,1965-01-17
"(25.8, 80.3)",M,era5,117.83,5.5,18.67,1965-01-18
"(25.8, 80.3)",M,era5,117.83,5.5,19.86,1965-01-19
"(25.8, 80.3)",M,era5,117.83,5.5,17.95,1965-01-20
"(25.8, 80.3)",M,era5,117.83,5.5,17.29,1965-01-21
"(25.8, 80.3)",M,era5,117.83,5.5,17.35,1965-01-22
"(25.8, 80.3)",M,era5,117.83,5.5,17.49,1965-01-23
"(25.8, 80.3)",M,era5,117.83,5.5,18.04,1965-01-24
"(25.8, 80.3)",M,era5,117.83,5.5,18.42,1965-01-25
"(25.8, 80.3)",M,era5,117.83,5.5,18.2,1965-01-26
"(25.8, 80.3)",M,era5,117.83,5.5,18.65,1965-01-27
"(25.8, 80.3)",M,era5,117.83,5.5,18.91,1965-01-28
"(25.8, 80.3)",M,era5,117.83,5.5,18.3,1965-01-29
"(25.8, 80.3)",M,era5,117.83,5.5,18.91,1965-01-30
"(25.8, 80.3)",M,era5,117.83,5.5,19.5,1965-01-31
"(25.8, 80.3)",M,era5,117.83,5.5,20.39,1965-02-01
"(25.8, 80.3)",M,era5,117.83,5.5,21.36,1965-02-02
"(25.8, 80.3)",M,era5,117.83,5.5,22.69,1965-02-03
"(25.8, 80.3)",M,era5,117.83,5.5,22.42,1965-02-04
"(25.8, 80.3)",M,era5,117.83,5.5,21.44,1965-02-05
"(25.8, 80.3)",M,era5,117.83,5.5,21.1,1965-02-06
"(25.8, 80.3)",M,era5,117.83,5.5,18.92,1965-02-07
"(25.8, 80.3)",M,era5,117.83,5.5,17.26,1965-02-08
"(25.8, 80.3)",M,era5,117.83,5.5,17.43,1965-02-09
"(25.8, 80.3)",M,era5,117.83,5.5,18.94,1965-02-10
"(25.8, 80.3)",M,era5,117.83,5.5,20.33,1965-02-11
"(25.8, 80.3)",M,era5,117.83,5.5,22.08,1965-02-12
"(25.8, 80.3)",M,era5,117.83,5.5,21.58,1965-02-13
"(25.8, 80.3)",M,era5,117.83,5.5,19.69,1965-02-14
"(25.8, 80.3)",M,era5,117.83,5.5,17.13,1965-02-15
"(25.8, 80.3)",M,era5,117.83,5.5,18.7,1965-02-16
"(25.8, 80.3)",M,era5,117.83,5.5,21.85,1965-02-17
"(25.8, 80.3)",M,era5,117.83,5.5,22.59,1965-02-18
"(25.8, 80.3)",M,era5,117.83,5.5,20.76,1965-02-19
"(25.8, 80.3)",M,era5,117.83,5.5,19.36,1965-02-20
"(25.8, 80.3)",M,era5,117.83,5.5,19.26,1965-02-21
"(25.8, 80.3)",M,era5,117.83,5.5,17.59,1965-02-22
"(25.8, 80.3)",M,era5,117.83,5.5,17.14,1965-02-23
"(25.8, 80.3)",M,era5,117.83,5.5,18.31,1965-02-24
"(25.8, 80.3)",M,era5,117.83,5.5,18.75,1965-02-25
"(25.8, 80.3)",M,era5,117.83,5.5,19.97,1965-02-26
"(25.8, 80.3)",M,era5,117.83,5.5,20.57,1965-02-27
"(25.8, 80.3)",M,era5,117.83,5.5,19.89,1965-02-28
"(25.8, 80.3)",M,era5,117.83,5.5,21.36,1965-03-01
"(25.8, 80.3)",M,era5,117.83,5.5,22.07,1965-03-02
"(25.8, 80.3)",M,era5,117.83,5.5,19.95,1965-03-03
"(25.8, 80.3)",M,era5,117.83,5.5,20.83,1965-03-04
"(25.8, 80.3)",M,era5,117.83,5.5,24.03,1965-03-05
"(25.8, 80.3)",M,era5,117.83,5.5,24.9,1965-03-06
"(25.8, 80.3)",M,era5,117.83,5.5,25.31,1965-03-07
"(25.8, 80.3)",M,era5,117.83,5.5,23.29,1965-03-08
"(25.8, 80.3)",M,era5,117.83,5.5,24.0,1965-03-09
"(25.8, 80.3)",M,era5,117.83,5.5,24.54,1965-03-10
"(25.8, 80.3)",M,era5,117.83,5.5,24.11,1965-03-11
"(25.8, 80.3)",M,era5,117.83,5.5,23.57,1965-03-12
"(25.8, 80.3)",M,era5,117.83,5.5,22.77,1965-03-13
"(25.8, 80.3)",M,era5,117.83,5.5,23.95,1965-03-14
"(25.8, 80.3)",M,era5,117.83,5.5,23.94,1965-03-15
"(25.8, 80.3)",M,era5,117.83,5.5,25.65,1965-03-16
"(25.8, 80.3)",M,era5,117.83,5.5,27.88,1965-03-17
"(25.8, 80.3)",M,era5,117.83,5.5,26.38,1965-03-18
"(25.8, 80.3)",M,era5,117.83,5.5,25.77,1965-03-19
"(25.8, 80.3)",M,era5,117.83,5.5,21.79,1965-03-20
"(25.8, 80.3)",M,era5,117.83,5.5,22.51,1965-03-21
"(25.8, 80.3)",M,era5,117.83,5.5,24.39,1965-03-22
"(25.8, 80.3)",M,era5,117.83,5.5,21.68,1965-03-23
"(25.8, 80.3)",M,era5,117.83,5.5,22.15,1965-03-24
"(25.8, 80.3)",M,era5,117.83,5.5,25.77,1965-03-25
"(25.8, 80.3)",M,era5,117.83,5.5,27.33,1965-03-26
"(25.8, 80.3)",M,era5,117.83,5.5,27.59,1965-03-27
"(25.8, 80.3)",M,era5,117.83,5.5,28.16,1965-03-28
"(25.8, 80.3)",M,era5,117.83,5.5,27.39,1965-03-29
"(25.8, 80.3)",M,era5,117.83,5.5,26.68,1965-03-30
"(25.8, 80.3)",M,era5,117.83,5.5,24.95,1965-03-31
"(25.8, 80.3)",M,era5,117.83,5.5,22.36,1965-04-01
"(25.8, 80.3)",M,era5,117.83,5.5,20.83,1965-04-02
"(25.8, 80.3)",M,era5,117.83,5.5,22.4,1965-04-03
"(25.8, 80.3)",M,era5,117.83,5.5,24.13,1965-04-04
"(25.8, 80.3)",M,era5,117.83,5.5,26.44,1965-04-05
"(25.8, 80.3)",M,era5,117.83,5.5,27.7,1965-04-06
"(25.8, 80.3)",M,era5,117.83,5.5,28.79,1965-04-07
"(25.8, 80.3)",M,era5,117.83,5.5,29.63,1965-04-08
"(25.8, 80.3)",M,era5,117.83,5.5,30.97,1965-04-09
"(25.8, 80.3)",M,era5,117.83,5.5,29.87,1965-04-10
"(25.8, 80.3)",M,era5,117.83,5.5,30.85,1965-04-11
"(25.8, 80.3)",M,era5,117.83,5.5,30.0,1965-04-12
"(25.8, 80.3)",M,era5,117.83,5.5,31.88,1965-04-13
"(25.8, 80.3)",M,era5,117.83,5.5,32.03,1965-04-14
"(25.8, 80.3)",M,era5,117.83,5.5,31.64,1965-04-15
"(25.8, 80.3)",M,era5,117.83,5.5,31.71,1965-04-16
"(25.8, 80.3)",M,era5,117.83,5.5,32.08,1965-04-17
"(25.8, 80.3)",M,era5,117.83,5.5,31.78,1965-04-18
"(25.8, 80.3)",M,era5,117.83,5.5,28.71,1965-04-19
"(25.8, 80.3)",M,era5,117.83,5.5,29.25,1965-04-20
"(25.8, 80.3)",M,era5,117.83,5.5,28.7,1965-04-21
"(25.8, 80.3)",M,era5,117.83,5.5,30.51,1965-04-22
"(25.8, 80.3)",M,era5,117.83,5.5,31.84,1965-04-23
"(25.8, 80.3)",M,era5,117.83,5.5,32.68,1965-04-24
"(25.8, 80.3)",M,era5,117.83,5.5,31.55,1965-04-25
"(25.8, 80.3)",M,era5,117.83,5.5,30.36,1965-04-26
"(25.8, 80.3)",M,era5,117.83,5.5,31.04,1965-04-27
"(25.8, 80.3)",M,era5,117.83,5.5,31.96,1965-04-28
"(25.8, 80.3)",M,era5,117.83,5.5,33.38,1965-04-29
"(25.8, 80.3)",M,era5,117.83,5.5,33.21,1965-04-30
"(25.8, 80.3)",M,era5,117.83,5.5,34.04,1965-05-01
"(25.8, 80.3)",M,era5,117.83,5.5,33.85,1965-05-02
"(25.8, 80.3)",M,era5,117.83,5.5,33.01,1965-05-03
"(25.8, 80.3)",M,era5,117.83,5.5,33.03,1965-05-04
"(25.8, 80.3)",M,era5,117.83,5.5,33.66,1965-05-05
"(25.8, 80.3)",M,era5,117.83,5.5,33.35,1965-05-06
"(25.8, 80.3)",M,era5,117.83,5.5,33.19,1965-05-07
"(25.8, 80.3)",M,era5,117.83,5.5,32.68,1965-05-08
"(25.8, 80.3)",M,era5,117.83,5.5,32.45,1965-05-09
"(25.8, 80.3)",M,era5,117.83,5.5,32.23,1965-05-10
"(25.8, 80.3)",M,era5,117.83,5.5,32.71,1965-05-11
"(25.8, 80.3)",M,era5,117.83,5.5,32.75,1965-05-12
"(25.8, 80.3)",M,era5,117.83,5.5,34.09,1965-05-13
"(25.8, 80.3)",M,era5,117.83,5.5,34.69,1965-05-14
"(25.8, 80.3)",M,era5,117.83,5.5,34.97,1965-05-15
"(25.8, 80.3)",M,era5,117.83,5.5,35.62,1965-05-16
"(25.8, 80.3)",M,era5,117.83,5.5,35.57,1965-05-17
"(25.8, 80.3)",M,era5,117.83,5.5,35.76,1965-05-18
"(25.8, 80.3)",M,era5,117.83,5.5,35.62,1965-05-19
"(25.8, 80.3)",M,era5,117.83,5.5,35.64,1965-05-20
"(25.8, 80.3)",M,era5,117.83,5.5,35.03,1965-05-21
"(25.8, 80.3)",M,era5,117.83,5.5,35.87,1965-05-22
"(25.8, 80.3)",M,era5,117.83,5.5,35.06,1965-05-23
"(25.8, 80.3)",M,era5,117.83,5.5,33.38,1965-05-24
"(25.8, 80.3)",M,era5,117.83,5.5,32.29,1965-05-25
"(25.8, 80.3)",M,era5,117.83,5.5,33.29,1965-05-26
"(25.8, 80.3)",M,era5,117.83,5.5,34.82,1965-05-27
"(25.8, 80.3)",M,era5,117.83,5.5,35.69,1965-05-28
"(25.8, 80.3)",M,era5,117.83,5.5,36.66,1965-05-29
"(25.8, 80.3)",M,era5,117.83,5.5,37.44,1965-05-30
"(25.8, 80.3)",M,era5,117.83,5.5,37.34,1965-05-31
"(25.8, 80.3)",M,era5,117.83,5.5,37.09,1965-06-01
"(25.8, 80.3)",M,era5,117.83,5.5,37.32,1965-06-02
"(25.8, 80.3)",M,era5,117.83,5.5,37.53,1965-06-03
"(25.8, 80.3)",M,era5,117.83,5.5,36.48,1965-06-04
"(25.8, 80.3)",M,era5,117.83,5.5,35.57,1965-06-05
"(25.8, 80.3)",M,era5,117.83,5.5,33.86,1965-06-06
"(25.8, 80.3)",M,era5,117.83,5.5,34.44,1965-06-07
"(25.8, 80.3)",M,era5,117.83,5.5,36.43,1965-06-08
"(25.8, 80.3)",M,era5,117.83,5.5,36.93,1965-06-09
"(25.8, 80.3)",M,era5,117.83,5.5,37.27,1965-06-10
"(25.8, 80.3)",M,era5,117.83,5.5,37.7,1965-06-11
"(25.8, 80.3)",M,era5,117.83,5.5,37.63,1965-06-12
"(25.8, 80.3)",M,era5,117.83,5.5,37.86,1965-06-13
"(25.8, 80.3)",M,era5,117.83,5.5,38.51,1965-06-14
"(25.8, 80.3)",M,era5,117.83,5.5,38.58,1965-06-15
"(25.8, 80.3)",M,era5,117.83,5.5,38.12,1965-06-16
"(25.8, 80.3)",M,era5,117.83,5.5,37.88,1965-06-17
"(25.8, 80.3)",M,era5,117.83,5.5,38.1,1965-06-18
"(25.8, 80.3)",M,era5,117.83,5.5,37.68,1965-06-19
"(25.8, 80.3)",M,era5,117.83,5.5,38.54,1965-06-20
"(25.8, 80.3)",M,era5,117.83,5.5,38.19,1965-06-21
"(25.8, 80.3)",M,era5,117.83,5.5,36.79,1965-06-22
"(25.8, 80.3)",M,era5,117.83,5.5,37.2,1965-06-23
"(25.8, 80.3)",M,era5,117.83,5.5,36.95,1965-06-24
"(25.8, 80.3)",M,era5,117.83,5.5,36.44,1965-06-25
"(25.8, 80.3)",M,era5,117.83,5.5,36.69,1965-06-26
"(25.8, 80.3)",M,era5,117.83,5.5,36.97,1965-06-27
"(25.8, 80.3)",M,era5,117.83,5.5,36.22,1965-06-28
"(25.8, 80.3)",M,era5,117.83,5.5,36.79,1965-06-29
"(25.8, 80.3)",M,era5,117.83,5.5,37.78,1965-06-30
"(25.8, 80.3)",M,era5,117.83,5.5,37.05,1965-07-01
"(25.8, 80.3)",M,era5,117.83,5.5,33.66,1965-07-02
"(25.8, 80.3)",M,era5,117.83,5.5,28.17,1965-07-03
"(25.8, 80.3)",M,era5,117.83,5.5,30.72,1965-07-04
"(25.8, 80.3)",M,era5,117.83,5.5,32.4,1965-07-05
"(25.8, 80.3)",M,era5,117.83,5.5,32.22,1965-07-06
"(25.8, 80.3)",M,era5,117.83,5.5,33.48,1965-07-07
"(25.8, 80.3)",M,era5,117.83,5.5,33.36,1965-07-08
"(25.8, 80.3)",M,era5,117.83,5.5,33.18,1965-07-09
"(25.8, 80.3)",M,era5,117.83,5.5,33.22,1965-07-10
"(25.8, 80.3)",M,era5,117.83,5.5,33.39,1965-07-11
"(25.8, 80.3)",M,era5,117.83,5.5,34.43,1965-07-12
"(25.8, 80.3)",M,era5,117.83,5.5,33.49,1965-07-13
"(25.8, 80.3)",M,era5,117.83,5.5,34.03,1965-07-14
"(25.8, 80.3)",M,era5,117.83,5.5,33.84,1965-07-15
"(25.8, 80.3)",M,era5,117.83,5.5,31.91,1965-07-16
"(25.8, 80.3)",M,era5,117.83,5.5,29.25,1965-07-17
"(25.8, 80.3)",M,era5,117.83,5.5,28.67,1965-07-18
"(25.8, 80.3)",M,era5,117.83,5.5,28.08,1965-07-19
"(25.8, 80.3)",M,era5,117.83,5.5,30.1,1965-07-20
"(25.8, 80.3)",M,era5,117.83,5.5,30.78,1965-07-21
"(25.8, 80.3)",M,era5,117.83,5.5,30.71,1965-07-22
"(25.8, 80.3)",M,era5,117.83,5.5,30.67,1965-07-23
"(25.8, 80.3)",M,era5,117.83,5.5,27.88,1965-07-24
"(25.8, 80.3)",M,era5,117.83,5.5,26.45,1965-07-25
"(25.8, 80.3)",M,era5,117.83,5.5,27.19,1965-07-26
"(25.8, 80.3)",M,era5,117.83,5.5,28.64,1965-07-27
"(25.8, 80.3)",M,era5,117.83,5.5,27.9,1965-07-28
"(25.8, 80.3)",M,era5,117.83,5.5,27.34,1965-07-29
"(25.8, 80.3)",M,era5,117.83,5.5,27.18,1965-07-30
"(25.8, 80.3)",M,era5,117.83,5.5,26.78,1965-07-31
"(25.8, 80.3)",M,era5,117.83,5.5,25.78,1965-08-01
"(25.8, 80.3)",M,era5,117.83,5.5,26.61,1965-08-02
"(25.8, 80.3)",M,era5,117.83,5.5,27.16,1965-08-03
"(25.8, 80.3)",M,era5,117.83,5.5,28.93,1965-08-04
"(25.8, 80.3)",M,era5,117.83,5.5,29.53,1965-08-05
"(25.8, 80.3)",M,era5,117.83,5.5,29.58,1965-08-06
"(25.8, 80.3)",M,era5,117.83,5.5,29.96,1965-08-07
"(25.8, 80.3)",M,era5,117.83,5.5,30.17,1965-08-08
"(25.8, 80.3)",M,era5,117.83,5.5,30.29,1965-08-09
"(25.8, 80.3)",M,era5,117.83,5.5,30.4,1965-08-10
"(25.8, 80.3)",M,era5,117.83,5.5,30.28,1965-08-11
"(25.8, 80.3)",M,era5,117.83,5.5,31.0,1965-08-12
"(25.8, 80.3)",M,era5,117.83,5.5,31.59,1965-08-13
"(25.8, 80.3)",M,era5,117.83,5.5,31.78,1965-08-14
"(25.8, 80.3)",M,era5,117.83,5.5,31.64,1965-08-15
"(25.8, 80.3)",M,era5,117.83,5.5,31.7,1965-08-16
"(25.8, 80.3)",M,era5,117.83,5.5,27.55,1965-08-17
"(25.8, 80.3)",M,era5,117.83,5.5,26.94,1965-08-18
"(25.8, 80.3)",M,era5,117.83,5.5,27.83,1965-08-19
"(25.8, 80.3)",M,era5,117.83,5.5,28.3,1965-08-20
"(25.8, 80.3)",M,era5,117.83,5.5,25.73,1965-08-21
"(25.8, 80.3)",M,era5,117.83,5.5,27.38,1965-08-22
"(25.8, 80.3)",M,era5,117.83,5.5,27.24,1965-08-23
"(25.8, 80.3)",M,era5,117.83,5.5,27.47,1965-08-24
"(25.8, 80.3)",M,era5,117.83,5.5,25.84,1965-08-25
"(25.8, 80.3)",M,era5,117.83,5.5,25.3,1965-08-26
"(25.8, 80.3)",M,era5,117.83,5.5,26.09,1965-08-27
"(25.8, 80.3)",M,era5,117.83,5.5,26.46,1965-08-28
"(25.8, 80.3)",M,era5,117.83,5.5,26.49,1965-08-29
"(25.8, 80.3)",M,era5,117.83,5.5,26.53,1965-08-30
"(25.8, 80.3)",M,era5,117.83,5.5,28.7,1965-08-31
"(25.8, 80.3)",M,era5,117.83,5.5,27.34,1965-09-01
"(25.8, 80.3)",M,era5,117.83,5.5,27.36,1965-09-02
"(25.8, 80.3)",M,era5,117.83,5.5,27.54,1965-09-03
"(25.8, 80.3)",M,era5,117.83,5.5,28.16,1965-09-04
"(25.8, 80.3)",M,era5,117.83,5.5,28.62,1965-09-05
"(25.8, 80.3)",M,era5,117.83,5.5,28.08,1965-09-06
"(25.8, 80.3)",M,era5,117.83,5.5,26.66,1965-09-07
"(25.8, 80.3)",M,era5,117.83,5.5,26.49,1965-09-08
"(25.8, 80.3)",M,era5,117.83,5.5,25.22,1965-09-09
"(25.8, 80.3)",M,era5,117.83,5.5,27.31,1965-09-10
"(25.8, 80.3)",M,era5,117.83,5.5,28.24,1965-09-11
"(25.8, 80.3)",M,era5,117.83,5.5,27.93,1965-09-12
"(25.8, 80.3)",M,era5,117.83,5.5,28.16,1965-09-13
"(25.8, 80.3)",M,era5,117.83,5.5,28.77,1965-09-14
"(25.8, 80.3)",M,era5,117.83,5.5,29.38,1965-09-15
"(25.8, 80.3)",M,era5,117.83,5.5,29.16,1965-09-16
"(25.8, 80.3)",M,era5,117.83,5.5,27.95,1965-09-17
"(25.8, 80.3)",M,era5,117.83,5.5,28.23,1965-09-18
"(25.8, 80.3)",M,era5,117.83,5.5,27.41,1965-09-19
"(25.8, 80.3)",M,era5,117.83,5.5,27.48,1965-09-20
"(25.8, 80.3)",M,era5,117.83,5.5,27.59,1965-09-21
"(25.8, 80.3)",M,era5,117.83,5.5,26.61,1965-09-22
"(25.8, 80.3)",M,era5,117.83,5.5,25.64,1965-09-23
"(25.8, 80.3)",M,era5,117.83,5.5,26.21,1965-09-24
"(25.8, 80.3)",M,era5,117.83,5.5,27.7,1965-09-25
"(25.8, 80.3)",M,era5,117.83,5.5,28.53,1965-09-26
"(25.8, 80.3)",M,era5,117.83,5.5,28.56,1965-09-27
"(25.8, 80.3)",M,era5,117.83,5.5,28.64,1965-09-28
"(25.8, 80.3)",M,era5,117.83,5.5,28.33,1965-09-29
"(25.8, 80.3)",M,era5,117.83,5.5,27.28,1965-09-30
"(25.8, 80.3)",M,era5,117.83,5.5,27.15,1965-10-01
"(25.8, 80.3)",M,era5,117.83,5.5,27.31,1965-10-02
"(25.8, 80.3)",M,era5,117.83,5.5,27.88,1965-10-03
"(25.8, 80.3)",M,era5,117.83,5.5,27.57,1965-10-04
"(25.8, 80.3)",M,era5,117.83,5.5,27.87,1965-10-05
"(25.8, 80.3)",M,era5,117.83,5.5,28.09,1965-10-06
"(25.8, 80.3)",M,era5,117.83,5.5,27.9,1965-10-07
"(25.8, 80.3)",M,era5,117.83,5.5,28.64,1965-10-08
"(25.8, 80.3)",M,era5,117.83,5.5,27.9,1965-10-09
"(25.8, 80.3)",M,era5,117.83,5.5,27.7,1965-10-10
"(25.8, 80.3)",M,era5,117.83,5.5,27.79,1965-10-11
"(25.8, 80.3)",M,era5,117.83,5.5,26.11,1965-10-12
"(25.8, 80.3)",M,era5,117.83,5.5,24.43,1965-10-13
"(25.8, 80.3)",M,era5,117.83,5.5,24.58,1965-10-14
"(25.8, 80.3)",M,era5,117.83,5.5,24.41,1965-10-15
"(25.8, 80.3)",M,era5,117.83,5.5,23.98,1965-10-16
"(25.8, 80.3)",M,era5,117.83,5.5,24.83,1965-10-17
"(25.8, 80.3)",M,era5,117.83,5.5,24.87,1965-10-18
"(25.8, 80.3)",M,era5,117.83,5.5,23.77,1965-10-19
"(25.8, 80.3)",M,era5,117.83,5.5,23.64,1965-10-20
"(25.8, 80.3)",M,era5,117.83,5.5,24.23,1965-10-21
"(25.8, 80.3)",M,era5,117.83,5.5,24.39,1965-10-22
"(25.8, 80.3)",M,era5,117.83,5.5,25.72,1965-10-23
"(25.8, 80.3)",M,era5,117.83,5.5,25.82,1965-10-24
"(25.8, 80.3)",M,era5,117.83,5.5,26.4,1965-10-25
"(25.8, 80.3)",M,era5,117.83,5.5,25.94,1965-10-26
"(25.8, 80.3)",M,era5,117.83,5.5,25.61,1965-10-27
"(25.8, 80.3)",M,era5,117.83,5.5,25.62,1965-10-28
"(25.8, 80.3)",M,era5,117.83,5.5,24.87,1965-10-29
"(25.8, 80.3)",M,era5,117.83,5.5,25.92,1965-10-30
"(25.8, 80.3)",M,era5,117.83,5.5,26.51,1965-10-31
"(25.8, 80.3)",M,era5,117.83,5.5,27.31,1965-11-01
"(25.8, 80.3)",M,era5,117.83,5.5,26.6,1965-11-02
"(25.8, 80.3)",M,era5,117.83,5.5,25.98,1965-11-03
"(25.8, 80.3)",M,era5,117.83,5.5,26.08,1965-11-04
"(25.8, 80.3)",M,era5,117.83,5.5,25.68,1965-11-05
"(25.8, 80.3)",M,era5,117.83,5.5,25.74,1965-11-06
"(25.8, 80.3)",M,era5,117.83,5.5,24.92,1965-11-07
"(25.8, 80.3)",M,era5,117.83,5.5,23.24,1965-11-08
"(25.8, 80.3)",M,era5,117.83,5.5,22.37,1965-11-09
"(25.8, 80.3)",M,era5,117.83,5.5,22.59,1965-11-10
"(25.8, 80.3)",M,era5,117.83,5.5,23.35,1965-11-11
"(25.8, 80.3)",M,era5,117.83,5.5,23.64,1965-11-12
"(25.8, 80.3)",M,era5,117.83,5.5,23.82,1965-11-13
"(25.8, 80.3)",M,era5,117.83,5.5,24.08,1965-11-14
"(25.8, 80.3)",M,era5,117.83,5.5,24.11,1965-11-15
"(25.8, 80.3)",M,era5,117.83,5.5,22.84,1965-11-16
"(25.8, 80.3)",M,era5,117.83,5.5,22.4,1965-11-17
"(25.8, 80.3)",M,era5,117.83,5.5,22.55,1965-11-18
"(25.8, 80.3)",M,era5,117.83,5.5,21.59,1965-11-19
"(25.8, 80.3)",M,era5,117.83,5.5,21.48,1965-11-20
"(25.8, 80.3)",M,era5,117.83,5.5,20.86,1965-11-21
"(25.8, 80.3)",M,era5,117.83,5.5,21.53,1965-11-22
"(25.8, 80.3)",M,era5,117.83,5.5,21.93,1965-11-23
"(25.8, 80.3)",M,era5,117.83,5.5,21.35,1965-11-24
"(25.8, 80.3)",M,era5,117.83,5.5,20.89,1965-11-25
"(25.8, 80.3)",M,era5,117.83,5.5,20.7,1965-11-26
"(25.8, 80.3)",M,era5,117.83,5.5,21.35,1965-11-27
"(25.8, 80.3)",M,era5,117.83,5.5,19.76,1965-11-28
"(25.8, 80.3)",M,era5,117.83,5.5,20.12,1965-11-29
"(25.8, 80.3)",M,era5,117.83,5.5,20.39,1965-11-30
"(25.8, 80.3)",M,era5,117.83,5.5,20.63,1965-12-01
"(25.8, 80.3)",M,era5,117.83,5.5,20.71,1965-12-02
"(25.8, 80.3)",M,era5,117.83,5.5,20.04,1965-12-03
"(25.8, 80.3)",M,era5,117.83,5.5,19.85,1965-12-04
"(25.8, 80.3)",M,era5,117.83,5.5,19.22,1965-12-05
"(25.8, 80.3)",M,era5,117.83,5.5,17.88,1965-12-06
"(25.8, 80.3)",M,era5,117.83,5.5,17.24,1965-12-07
"(25.8, 80.3)",M,era5,117.83,5.5,18.16,1965-12-08
"(25.8, 80.3)",M,era5,117.83,5.5,18.34,1965-12-09
"(25.8, 80.3)",M,era5,117.83,5.5,18.78,1965-12-10
"(25.8, 80.3)",M,era5,117.83,5.5,17.03,1965-12-11
"(25.8, 80.3)",M,era5,117.83,5.5,18.43,1965-12-12
"(25.8, 80.3)",M,era5,117.83,5.5,15.92,1965-12-13
"(25.8, 80.3)",M,era5,117.83,5.5,17.04,1965-12-14
"(25.8, 80.3)",M,era5,117.83,5.5,16.38,1965-12-15
"(25.8, 80.3)",M,era5,117.83,5.5,15.46,1965-12-16
"(25.8, 80.3)",M,era5,117.83,5.5,15.0,1965-12-17
"(25.8, 80.3)",M,era5,117.83,5.5,14.9,1965-12-18
"(25.8, 80.3)",M,era5,117.83,5.5,16.38,1965-12-19
"(25.8, 80.3)",M,era5,117.83,5.5,16.08,1965-12-20
"(25.8, 80.3)",M,era5,117.83,5.5,16.11,1965-12-21
"(25.8, 80.3)",M,era5,117.83,5.5,15.67,1965-12-22
"(25.8, 80.3)",M,era5,117.83,5.5,16.96,1965-12-23
"(25.8, 80.3)",M,era5,117.83,5.5,18.44,1965-12-24
"(25.8, 80.3)",M,era5,117.83,5.5,17.21,1965-12-25
"(25.8, 80.3)",M,era5,117.83,5.5,16.14,1965-12-26
"(25.8, 80.3)",M,era5,117.83,5.5,16.89,1965-12-27
"(25.8, 80.3)",M,era5,117.83,5.5,17.18,1965-12-28
"(25.8, 80.3)",M,era5,117.83,5.5,15.04,1965-12-29
"(25.8, 80.3)",M,era5,117.83,5.5,15.59,1965-12-30
"(25.8, 80.3)",M,era5,117.83,5.5,15.98,1965-12-31
"(25.8, 80.3)",M,era5,117.83,5.5,17.34,1966-01-01
"(25.8, 80.3)",M,era5,117.83,5.5,17.65,1966-01-02
"(25.8, 80.3)",M,era5,117.83,5.5,16.89,1966-01-03
"(25.8, 80.3)",M,era5,117.83,5.5,17.23,1966-01-04
"(25.8, 80.3)",M,era5,117.83,5.5,17.06,1966-01-05
"(25.8, 80.3)",M,era5,117.83,5.5,16.62,1966-01-06
"(25.8, 80.3)",M,era5,117.83,5.5,16.6,1966-01-07
"(25.8, 80.3)",M,era5,117.83,5.5,16.23,1966-01-08
"(25.8, 80.3)",M,era5,117.83,5.5,16.71,1966-01-09
"(25.8, 80.3)",M,era5,117.83,5.5,18.03,1966-01-10
"(25.8, 80.3)",M,era5,117.83,5.5,17.83,1966-01-11
"(25.8, 80.3)",M,era5,117.83,5.5,17.55,1966-01-12
"(25.8, 80.3)",M,era5,117.83,5.5,17.34,1966-01-13
"(25.8, 80.3)",M,era5,117.83,5.5,16.56,1966-01-14
"(25.8, 80.3)",M,era5,117.83,5.5,16.77,1966-01-15
"(25.8, 80.3)",M,era5,117.83,5.5,16.97,1966-01-16
"(25.8, 80.3)",M,era5,117.83,5.5,17.35,1966-01-17
"(25.8, 80.3)",M,era5,117.83,5.5,16.68,1966-01-18
"(25.8, 80.3)",M,era5,117.83,5.5,16.54,1966-01-19
"(25.8, 80.3)",M,era5,117.83,5.5,16.22,1966-01-20
"(25.8, 80.3)",M,era5,117.83,5.5,16.75,1966-01-21
"(25.8, 80.3)",M,era5,117.83,5.5,16.94,1966-01-22
